k,t_s,offset_ns,offset_simulink_ns,meas_ns,corr_ppb,freq_adj,adj_valid
0,0,0,0,4.29381781693366,377.855967890162,-10386,1
1,0.001,37.1221923828125,37.1221440321098,89.1088070082979,7858.52700947147,-216014,0
2,0.002,66.763671875,66.7636212775002,1.69230517918281,517.676418578102,-14230,0
3,0.003,103.745849609375,103.745949502391,137.179973959335,12447.2724920789,-342148,0
4,0.004,128.798706054688,128.798668610374,206.020626478526,19046.8364509592,-523555,0
5,0.005,147.251831054688,147.251835450784,106.40300432684,11093.855134948,-304946,0
6,0.006,173.657958984375,173.65798007308,139.1341688883,14394.2766774389,-395667,0
7,0.007,196.763671875,196.763701666579,235.714647115902,23442.6604602388,-644387,0
8,0.008,210.821044921875,210.821038628167,235.916352380169,24391.0119503079,-670455,0
9,0.009,223.930053710938,223.930027157575,128.250711217656,15847.8332872037,-435622,0
10,0.01,245.582153320312,245.582196157783,311.821313318378,32508.3800799546,-893584,0
11,0.011,250.573852539062,250.57381236368,261.028106824976,29269.6484535161,-804558,0
12,0.012,258.80419921875,258.804167332025,289.750220835261,32827.7334521662,-902362,0
13,0.013,263.476440429688,263.476436730929,251.807089208857,30632.6717409002,-842024,0
14,0.014,270.34375,270.343765486448,235.301151723617,30174.2836303957,-829424,0
15,0.015,277.66943359375,277.669480678775,248.586116633695,32272.3294894874,-887095,0
16,0.016,282.897094726562,282.897147170196,248.216057426368,33221.1822677125,-913177,0
17,0.017,287.175903320312,287.175960225942,255.06081369091,34803.4778137115,-956671,0
18,0.018,289.872436523438,289.872477135986,308.723237248549,40532.7511792354,-1114156,0
19,0.019,286.839721679688,286.839721889634,212.586632235788,33291.5692787697,-915112,0
20,0.02,291.048095703125,291.048151938839,324.579796654791,43986.2597717089,-1209085,0
21,0.021,284.561889648438,284.561886564007,285.27809024567,41809.1506448994,-1149241,0
22,0.022,280.252685546875,280.25273531414,287.376387133837,43120.0786713479,-1185276,0
23,0.023,274.632568359375,274.632651399051,286.988628556525,44220.5178929489,-1215524,0
24,0.024,267.912109375,267.912125137909,296.055182251712,46151.4057236665,-1268600,0
25,0.025,259.260620117188,259.260716638564,314.366141035035,48931.5959561287,-1345021,0
26,0.026,247.8291015625,247.829110737779,293.72706264102,48356.4745822617,-1329213,0
27,0.027,236.972534179688,236.972633516252,171.58383387479,38767.5048941402,-1065633,0
28,0.028,235.704956054688,235.705118012429,220.69506409746,43766.7061298728,-1203050,0
29,0.029,229.438354492188,229.438395370029,253.253166967156,47503.1232954629,-1305756,0
30,0.03,219.435180664062,219.435265577661,110.891479208086,35975.138275851,-988877,0
31,0.031,220.9599609375,220.960116768373,146.412949322553,39538.8272058376,-1086835,0
32,0.032,218.921142578125,218.921272453139,188.257042709193,43799.1457477874,-1203942,0
33,0.033,212.6220703125,212.622111264851,115.265597214115,38119.1373488364,-1047811,0
34,0.034,212.002807617188,212.002965787961,217.601651804783,47579.7787306165,-1307863,0
35,0.035,201.923095703125,201.92316845239,148.685310232525,42374.2319935831,-1164774,0
36,0.036,197.048828125,197.048924746487,201.866837002072,47641.2159541012,-1309552,0
37,0.037,186.907592773438,186.907694692096,279.198805398742,55243.3994454924,-1518519,0
38,0.038,169.164184570312,169.164280298702,158.663289217566,45738.5509052631,-1257252,0
39,0.039,160.925659179688,160.925714587905,206.651105008605,50587.8813607055,-1390549,0
